name,popularity,duration_ms,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,valence_tags,arousal_tags,dominance_tags,genre,artists_processed,name_processed,lyrics,BERT_features
thinking about you,34,324360,whitney houston,0.856,0.343,11,-16.479,0,0.0617,0.257,0.0,0.0584,0.744,119.94,4.0,5.7,5.7,pop,whitney houston,thinking about you,huh huh ooh i'm fool huh huh huh huh can't get mind matter i'm wishing makes difference think i'm living fantasy late night run lovesick fool might pouring rain pouring still nothing's changed feel shame i'm fool insane i'm fool chorus keep thinking baby oh tell ya gonna got thinking want like river wine intoxicate mind i'm thinking that's want pick let's go i'm thinking yeah yeah yeah yeah yeah yeah i'm thinking got thinking i'm thinking make believing game that's play need like need there's reason heart makes feel way hope feel way late night run lovesick fool might pouring rain pouring still nothing's changed feel shame i'm fool insane i'm fool chorus might pouring rain like fool insane i'm lovesick fool got thing i'm i'm lovesick fool oh fool chorus,"[[-0.02385615 -0.23791517 -0.05933804 ... -0.541202   -0.13556066
   0.18954098]
 [ 0.18695335  0.02345319  0.6997896  ...  0.05964438  1.0346129
   0.5512168 ]
 [ 0.04523326  0.38221797  1.2420962  ...  0.09045705  0.45893478
   0.31615317]
 ...
 [ 0.40541616 -0.04820955  0.7639676  ...  0.11631501  0.35947356
  -0.30117583]
 [ 0.5040517  -0.12816419  0.7398931  ... -0.09452634  0.02357473
  -0.25054964]
 [ 0.42550746 -0.04868705  0.7931876  ... -0.08218978 -0.05053912
  -0.22967638]]"
my love is your love,70,261573,whitney houston,0.77,0.475,7,-9.512,1,0.159,0.0557,4.81e-06,0.0607,0.474,82.511,7.1929113924050645,4.598227848101266,6.027594936708861,soul,whitney houston,my love is your love,clap hands y'all alright tomorrow judgment day sing mommy i'm standing front line lord asks life say spent wake world war iii see destruction poverty feel like want go home okay coming cause love love love love would take eternity break us chains amistad hold us cause love love love love would take eternity break us chains amistad hold us lose fame fortune i'm homeless street i'm sleeping grand central station okay sleeping years pass us stay young other's eyes matter old get okay long got baby cause love love love love would take eternity break us chains amistad hold us cause love love love love would take eternity break us chains amistad hold us die day cry cause earth meant stay matter people say i'll waiting judgment day cause love love love love would take eternity break us chains amistad hold us cause love love love love would take eternity break us chains amistad hold us,"[[-0.24210344  0.00847728  0.29176068 ... -0.2675778  -0.13907857
  -0.13129196]
 [ 1.0022112   0.8106918   1.3714366  ...  0.5783501   0.35961962
   0.27490836]
 [ 0.20666349  0.756497    1.2250898  ... -0.08187265 -0.09895361
  -0.12119611]
 ...
 [-0.10283937  0.02099181  0.502682   ... -0.07036225  0.05286604
  -0.04864174]
 [ 0.2233284   0.31338066  0.23394746 ... -0.0894812   0.04308808
   0.24635693]
 [ 0.21666063  0.01087368  0.18729457 ... -0.02995639 -0.19172207
   0.31205046]]"
jesus loves me,43,312507,whitney houston,0.534,0.396,7,-13.222,1,0.0313,0.549,1.32e-05,0.0568,0.283,134.335,6.39,2.625,6.36,gospel,whitney houston,jesus loves me,yes jesus loves bible tells jesus loves know bible tells little ones belong weak strong yes jesus loves oh yes jesus loves yes jesus loves bible tells pressing away always guide lord pray undeserving stubbornly never fail love still yes jesus loves oh yes jesus loves oh yes jesus loves bible tells yes jesus loves love oh yes jesus loves bible tells bible tells feels good know i'm never alone see sometimes i'm lonely never alone bible tells bible tells bible tells see know loves whether i'm right whether i'm wrong,"[[-0.5365735   0.42430812  0.2950637  ... -0.08251932  0.13246547
  -0.05844234]
 [ 0.35461798  0.51345956  0.13297251 ...  0.00370748  0.8253324
   0.23868524]
 [ 0.5311343   0.514376    0.4480549  ... -0.5804368   0.13029166
  -0.61224073]
 ...
 [ 0.38579053  0.25138438  0.61191267 ... -0.230719   -0.16461268
  -0.44573432]
 [ 0.31883693  0.20368488  0.517257   ... -0.24436378 -0.12008729
  -0.34808356]
 [ 0.343309    0.19971843  0.6139239  ... -0.29894674 -0.13439845
  -0.28779653]]"
lover for life,35,289733,whitney houston,0.717,0.534,2,-11.214,1,0.0282,0.656,1.23e-06,0.0503,0.655,98.015,7.114285714285715,4.952857142857142,6.227142857142857,pop,whitney houston,lover for life,hey yeah baby hoo boy yeah oh baby hope realize baby mean uh hey run cover love shelter find needing lifting one night always enough make love true rare affair take i'm prisoner chorus sentence lover life lover life sentence want lover life lover life lover yeah yeah yeah want hear say lover lover life capture there's getaway lover lover life spell power really matter boy see fell love first time saw falling love ever since mm boy heard testimony seen evidence hey crime passion every sense justice would served stay world take i'm prisoner chorus i'm prisoner take i'm prisoner sentence lover life want take baby lover baby,"[[-0.33213454 -0.12556215  0.5481176  ... -0.18195654 -0.29621118
  -0.1597373 ]
 [ 0.4739299   0.23593193  1.5805559  ...  0.34075043  0.40327296
   0.08460327]
 [ 0.40794596 -0.03407156  1.1204598  ... -0.13310571  0.07246599
  -0.2891136 ]
 ...
 [ 0.16130652 -0.04975308  0.49667835 ... -0.23274893 -0.31345612
  -0.35703802]
 [ 0.30190533 -0.26982218  0.35709336 ... -0.1370064  -0.39061418
  -0.22657442]
 [ 0.24222682 -0.22630507  0.48859382 ... -0.04020338 -0.3092778
  -0.13595514]]"
one of those days,47,255733,whitney houston,0.679,0.708,0,-3.844,1,0.0818,0.312,0.0,0.0878,0.82,91.983,6.201666666666666,3.733333333333333,5.793333333333333,pop,whitney houston,one of those days,ohh kick shoes relax feet hit kitchen grab bite eat one crazy weeks gotta something special see hit salon get mani pedi massage get sip i'm ready gotta take time real ladies know i'm talking sing oooooooh baby baby know i've going sing oooooooh baby baby obvious see exactly need one days sun shining bright life going right simple things wasted one days cruising car see stars warm outside beautiful tonight wanna set body free never mind tv tonight i'll let little tv watch light candles aroma therapy hot tub bubbles surrounding mr big background isley brothers gonna hold sing one days sun shining bright life going right simple things wasted one days cruising car see stars warm outside beautiful singing hello hello need one days know warm beautiful,"[[-0.13031234  0.05825307  0.3563027  ... -0.30219677 -0.11639074
  -0.00157976]
 [-0.26327354 -0.19212374  1.3956407  ... -0.23755103  0.44951284
  -0.09892781]
 [-0.152073    0.71309894  1.3768258  ... -0.9301196   0.04185881
  -0.10568807]
 ...
 [ 0.23860137 -0.20778747  0.55953085 ... -0.14577948 -0.30323547
   0.0467585 ]
 [ 0.37060466 -0.20428698  0.4268326  ... -0.08473609 -0.33301157
  -0.14247969]
 [ 0.24333684 -0.14598306  0.6346384  ... -0.08464827 -0.19147612
  -0.1016345 ]]"
bigger than us,48,282973,white lies,0.315,0.905,11,-5.376,0,0.0448,9.82e-05,0.00297,0.0828,0.307,142.682,6.347692307692308,4.720384615384615,5.105,indie rock,white lies,bigger than us,took tunnel route home never taken way feel need change apologies fingernails love flickered city lights like intermittent radio waves need tears want love i've got get home feel like i'm breaking wanted stay headlights hillside take way want hold want pray cause bigger us went horses cry never taken way feel need change guilt smeared across lips tired cold window tired nothing changed need tears want love i've got get home feel like i'm breaking wanted stay headlights hillside take way want hold want pray cause bigger us feel like i'm breaking wanted stay headlights hillside take way want hold want pray cause bigger us feel like i'm breaking wanted stay headlights hillside take way want hold want pray cause bigger us feel like i'm breaking wanted stay headlights hillside take way want hold want pray cause bigger us,"[[-0.20076254  0.0987135   0.02391739 ... -0.08085033 -0.0340315
  -0.299777  ]
 [-0.34094033 -0.11813586 -0.33578387 ...  0.15660563  0.10362862
  -0.34658447]
 [-0.24802569 -0.38667238  0.50209856 ...  0.11877801 -0.17702658
   0.6526851 ]
 ...
 [ 0.05927913 -0.08604676  0.35828105 ...  0.09000703 -0.13922912
  -0.533675  ]
 [ 0.03167642 -0.13565217  0.40613568 ...  0.01857882 -0.21746264
  -0.606315  ]
 [ 0.14643963 -0.15620571  0.404207   ...  0.09469129 -0.2538189
  -0.54265225]]"
holiday,52,204933,weezer,0.487,0.811,8,-7.223,1,0.0432,0.000408,3.83e-05,0.146,0.382,120.124,7.684705882352942,5.511764705882353,6.806470588235294,rock,weezer,holiday,let's go away strange distant land speak word truth understand anyway holiday far away stay holiday far away let's go today heartbeat heartbeat heartbeat bother pack bags map need we're goin we're goin wind blowin knowin we're gonna stay holiday far away stay holiday far away let's go today heartbeat heartbeat heartbeat write postcard friends family free verse road kerouac sheltered bivouac road we'll never die let's go away strange distant land speak word truth understand anyway holiday far away stay holiday far away let's go today heartbeat heartbeat heartbeat,"[[-0.65838325  0.06637038 -0.16378684 ... -0.21242717  0.14992811
   0.1462843 ]
 [ 0.6520687   0.05813335  0.26861733 ...  0.7101559   0.8859897
  -0.41616616]
 [ 0.5571462   0.3109684  -0.10023037 ... -0.31668237 -0.6552732
  -0.22784354]
 ...
 [-0.17747211  0.0219777   0.8506666  ... -0.191395   -0.16257703
  -0.09803237]
 [ 0.19431683 -0.22258715  0.6593612  ... -0.22954011 -0.18726829
  -0.3294452 ]
 [ 0.15804553 -0.13615014  0.9308191  ... -0.32169718 -0.506306
  -0.22834866]]"
butterfly,44,173467,weezer,0.62,0.192,6,-16.13,1,0.0311,0.751,0.0,0.122,0.465,63.435,4.172830188679245,3.056556603773585,4.662735849056604,acoustic,weezer,butterfly,yesterday went outside momma's mason jar caught lovely butterfly woke today looked fairy pet withered away sighing breast i'm sorry body told mean harm everytime pin think want slips away ghost slips away smell hand days can't wash away scent i'm dog bitch guess real maybe live maybe need fantasy life chasing butterfly told would return robin makes nest ain't never comin back i'm sorry i'm sorry i'm sorry,"[[-0.08398955 -0.01686916  0.28460622 ... -0.37044868  0.03740129
   0.09697467]
 [ 0.0816396  -0.54717535 -0.229941   ... -0.21068466  0.65578425
  -0.25411245]
 [ 0.06411386 -1.0984533   0.32833686 ... -0.6286403  -0.24961376
  -0.12514806]
 ...
 [ 0.23263948 -0.26987085  0.6215774  ... -0.34204662 -0.3067761
  -0.1752734 ]
 [ 0.10960608 -0.32214648  0.6492129  ... -0.3115779  -0.3391683
  -0.08440775]
 [ 0.02007796 -0.31141698  0.6804561  ... -0.30236256 -0.35112143
  -0.03577309]]"
touch me,44,209667,weeping willows,0.54,0.743,9,-5.442,0,0.0348,0.000161,0.000551,0.116,0.419,116.563,3.8638983050847457,3.702118644067797,3.915338983050848,swedish,weeping willows,touch me,real life killed school bus real life wise guys never weep real life dying famous real life happens tv real life covered make-up real life make believe real life meet wake real life touch screen touch touch long live real touch touch i'm human human please touch real life full imitations real life talk codes real life real imagination real life hide behind clothes touch touch long live real touch touch i'm human human please touch touch touch touch touch long live real touch touch touch touch long live real touch touch i'm human human,"[[-0.20235741  0.16138457  0.11964426 ... -0.71842796 -0.03310826
   0.41873902]
 [ 0.35795763  0.7483902   0.15816292 ... -0.27627736  0.90955395
   0.15244956]
 [-0.41801336  0.21264178  0.78097713 ... -1.2289679   0.33801463
  -0.14908099]
 ...
 [ 0.05301863 -0.2290743   0.50236124 ... -0.48940903 -0.32999703
  -0.09301516]
 [ 0.00125815 -0.37150213  0.45587727 ... -0.48643336 -0.17927897
  -0.07944096]
 [-0.10507201 -0.34423038  0.5477281  ... -0.5111785  -0.23312502
   0.00536878]]"
what deaner was talkin' about,41,119600,ween,0.627,0.668,7,-9.806,1,0.0279,0.0754,0.0,0.267,0.615,119.787,5.067961165048544,5.229611650485436,4.925631067961166,rock,ween,what deaner was talkin' about,wash hanging nothing nothing nothing say think must dreaming sun comes i'm washed deaner talkin think ever return friend king i'd wear ring never hurt people i'd stay alert dress kill might even slip something sun comes i'm washed deaner talkin think ever return friend sun comes i'm washed deaner talkin think ever return friend think ever return friend 2x,"[[-0.32715014 -0.06863841  0.01263174 ... -0.16659781  0.03184685
   0.18375522]
 [ 1.2604036  -0.05567911  0.88252145 ... -0.6570595  -0.39379406
  -0.15803812]
 [ 0.8429318  -0.1348012   0.54410094 ...  0.10694498 -0.74227035
  -0.04173401]
 ...
 [ 0.2973759  -0.12136094  0.565735   ...  0.01532422  0.2866198
  -0.26187727]
 [ 0.07921574 -0.45399165  0.23026858 ... -0.12791458 -0.06891932
  -0.511289  ]
 [ 0.270843   -0.19670813  0.69542927 ...  0.19596073  0.09442542
  -0.11277619]]"
ocean man,66,126947,ween,0.72,0.912,4,-6.13,1,0.0363,0.551,0.00122,0.0982,0.973,122.782,8.28505376344086,6.1618279569892485,7.00731182795699,alternative,ween,ocean man,ocean man take hand lead land understand ocean man voyage corner globe real trip ocean man crust tan man imbibed sand soaking thirst land ocean man see wonder amazement oberman ocean man crust elusive casts forth childlike man ocean man sequence life form braised sand soaking thirst land ocean man ocean man ocean man ocean man take hand lead land understand ocean man voyage corner globe real trip ocean man crust tan man imbibed sand soaking thirst land ocean man see wonder amazement oberman ocean man crust elusive casts forth childlike man ocean man sequence life form braised sand soaking thirst land ocean man,"[[-0.7155769   0.5006905  -0.07151357 ... -0.25281432  0.40084216
   0.24663027]
 [ 0.05319463  0.81919664  0.46091673 ...  0.2133954   0.8457245
  -0.3906762 ]
 [-0.9842974  -0.21167268 -0.11380581 ...  0.03587094  0.39070278
   0.31712234]
 ...
 [ 0.25190103  0.6863195   0.09433997 ... -0.3537909  -0.18069713
  -0.28987685]
 [-0.7251821  -0.21522167  0.444285   ... -0.46504274  0.05136081
   0.06595249]
 [ 0.1743059   0.39994836  0.15139253 ... -0.25064474 -0.0737352
  -0.20281684]]"
the mollusk,48,156973,ween,0.638,0.587,7,-9.457,1,0.0303,0.507,0.0701,0.0938,0.781,111.829,4.931666666666667,3.75,4.385000000000001,alternative,ween,the mollusk,hey little boy whatcha got kind sir mollusk i've found find sandy ground emulate ocean's sound yes found ground emulating ocean's sound bring forth mollusk cast unto let's forever let forever free hey little boy come walk bring new found mollusk along speaketh trinity gaze sun wandering eye yes speaks trinity casting light sun wandering eye bring forth mollusk cast unto let's forever let forever free see three things spur mollusk sand waking creatures live land one faint glance back sea mollusk lingers wandering eye,"[[-0.19063658  0.03051902 -0.02925535 ... -0.02947314  0.32272005
  -0.12361579]
 [-0.01345571  0.7277467   2.0100014  ...  0.34023982  0.2083906
  -0.32892427]
 [-0.30678812  1.0423689   0.50254285 ...  0.18230094  0.55847377
  -0.38850155]
 ...
 [ 0.09109533 -0.30419642 -0.00212829 ...  0.1412655  -0.01722492
  -0.1330785 ]
 [ 0.0357159  -0.19380075  0.09115811 ...  0.12037558 -0.09009749
   0.04247323]
 [ 0.10445438 -0.14396226  0.12692784 ... -0.031479   -0.04699836
  -0.07475291]]"
waving my dick in the wind,47,131733,ween,0.647,0.97,1,-6.694,0,0.0424,0.00163,0.696,0.081,0.948,145.822,8.37,6.320000000000001,7.04,alternative,ween,waving my dick in the wind,i'm waving dick wind waving dick wind goes right i'll arms tonight i'm waving dick wind i'm lost sauce i'm lost sauce make night everything alright i'm lost sauce 97 days since i've laid head beside million miles highway there's red blue lights shinin right behind pig's pretty mean bastard seen old jimmy wilson dance seen old jimmy wilson dance give boy dime could chance see old jimmy wilson dance dance jimmy i'm doin best deaner that's know can't really dance like used mean try i'm old old man i've got real good feelin bout old jimmy wilson sho nuff he's got takes another number please ya jimmy cause really good dancer ooh yeah help i'm waving dick wind waving dick wind goes right i'll arms tonight i'm waving dick wind waving dick wind waving dick wind,"[[-0.3155861   0.09596191  0.17284977 ... -0.30584562  0.16972545
   0.39267433]
 [ 0.23024656  0.25055733 -0.17133616 ...  0.23599732  1.0039024
   0.14815983]
 [-0.07084356 -0.41547793  1.2988842  ... -0.35458115  0.34691218
  -0.24596709]
 ...
 [-0.06488162  0.31157094  0.76394844 ... -0.33785868 -0.04260523
  -0.31250098]
 [-0.14175968  0.2565238   0.6292842  ... -0.2959383  -0.08297729
  -0.33857715]
 [-0.04204427  0.03782116  0.723014   ... -0.36195728  0.12101417
  -0.02789169]]"
